id,Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,2019-01-01,Home,LB4,Lambeth - Brixton Road,35.75839928743421,13.427510408771091,11.961610982131342,17.89313697918208,15.916375472442176,30.81360072790568,55.02129857513039,91.59733550739983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,111.73767799526075,102.91496417093016,97.40875751052906,70.68672082256461,84.53753076662176,66.49484897340147
2,2019-01-01,Work,LB4,Lambeth - Brixton Road,-999,-999,-999,-999,-999,-999,-999,-999,98.3749655655102,60.085833416013116,81.76586883976161,62.85997722814797,40.95658022760998,91.21968586855236,112.2827149956419,102.89832752318732,110.48000349366863,95.9541898865392,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,LB4,Lambeth - Brixton Road,36.196476728266305,13.695212833375653,12.187537623598915,17.95958078222272,16.137036180737326,31.18273542332824,55.54526256831931,91.82166201187098,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,111.65279878480516,102.98174631525087,97.63539870574633,71.05973340582317,84.70543404444835,66.76229756081972
4,2019-01-02,Work,LB4,Lambeth - Brixton Road,-999,-999,-999,-999,-999,-999,-999,-999,98.41030933834938,60.61584953696179,81.83896971521162,63.18156195874917,41.53848744044712,91.09864681650598,111.99779004569544,102.71995477923376,110.2781173026649,95.93902656982102,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,LB4,Lambeth - Brixton Road,36.63455416890819,13.962915257969165,12.413464265110912,18.026024585266555,16.357696889033832,31.551870118853564,56.06922656171447,92.04598851650287,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,111.56791957430504,103.04852845956424,97.86203990093924,71.43274598890102,84.87333732218376,67.02974614812915
6,2019-01-03,Work,LB4,Lambeth - Brixton Road,-999,-999,-999,-999,-999,-999,-999,-999,98.44565311115598,61.14586565832175,81.91207059072576,63.503146689450645,42.12039465372593,90.97760776441856,111.71286509620172,102.54158203526372,110.07623111178216,95.92386325310262,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,LB4,Lambeth - Brixton Road,37.072631609550065,14.230617682562675,12.639390906622909,18.09246838831039,16.57835759733034,31.921004814378904,56.593190555109615,92.27031502113476,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,111.48304036380496,103.11531060387765,98.0886810961322,71.80575857197891,85.04124059991915,67.29719473543858
8,2019-01-04,Work,LB4,Lambeth - Brixton Road,-999,-999,-999,-999,-999,-999,-999,-999,98.48099688396258,61.67588177968176,81.98517146623988,63.82473142015216,42.70230186700483,90.85656871233112,111.427940146708,102.3632092912937,109.87434492089945,95.9086999363842,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,LB4,Lambeth - Brixton Road,37.51070905019194,14.49832010715619,12.865317548134898,18.158912191354226,16.799018305626852,32.290139509904236,57.117154548504786,92.49464152576662,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,111.39816115330488,103.182092748191,98.31532229132516,72.17877115505678,85.20914387765455,67.564643322748
10,2019-01-05,Work,LB4,Lambeth - Brixton Road,-999,-999,-999,-999,-999,-999,-999,-999,98.51634065676916,62.205897901041766,82.058272341754,64.14631615085365,43.28420908028367,90.73552966024369,111.14301519721434,102.18483654732368,109.67245873001669,95.8935366196658,-999,-999,-999,-999,-999,-999
11,2019-01-06,Home,LB4,Lambeth - Brixton Road,37.94878649083382,14.766022531749698,13.091244189646892,18.225355994398065,17.019679013923366,32.65927420542957,57.6411185418999,92.71896803039851,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,111.31328194280482,103.24887489250438,98.54196348651809,72.55178373813459,85.37704715538999,67.83209191005744
12,2019-01-06,Work,LB4,Lambeth - Brixton Road,-999,-999,-999,-999,-999,-999,-999,-999,98.55168442957576,62.73591402240177,82.13137321726815,64.46790088155514,43.86611629356245,90.61449060815625,110.85809024772058,102.0064638033537,109.47057253913393,95.8783733029474,-999,-999,-999,-999,-999,-999
13,2019-01-07,Home,LB4,Lambeth - Brixton Road,38.386863931475666,15.03372495634322,13.317170831158878,18.2917997974419,17.240339722219886,33.02840890095487,58.16508253529507,92.9432945350304,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,111.22840273230472,103.3156570368177,98.76860468171095,72.9247963212124,85.54495043312536,68.09954049736689
14,2019-01-07,Work,LB4,Lambeth - Brixton Road,-999,-999,-999,-999,-999,-999,-999,-999,98.58702820238238,63.26593014376172,82.20447409278226,64.78948561225663,44.448023506841345,90.4934515560688,110.57316529822675,101.8280910593836,109.26868634825117,95.863209986229,-999,-999,-999,-999,-999,-999
15,2019-01-08,Home,LB4,Lambeth - Brixton Road,38.82494137211757,15.301427380936737,13.543097472670889,18.358243600485736,17.4610004305164,33.397543596480205,58.689046528690184,93.16762103966224,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,111.1435235218047,103.38243918113102,98.99524587690402,73.2978089042902,85.71285371086074,68.36698908467628
16,2019-01-08,Work,LB4,Lambeth - Brixton Road,-999,-999,-999,-999,-999,-999,-999,-999,98.62237197518898,63.79594626512167,82.2775749682964,65.11107034295823,45.02993072012013,90.37241250398137,110.28824034873313,101.6497183154135,109.06680015736846,95.8480466695106,-999,-999,-999,-999,-999,-999
17,2019-01-09,Home,LB4,Lambeth - Brixton Road,39.26301881275953,15.569129805530244,13.769024114182878,18.424687403529575,17.68166113881292,33.76667829200551,59.21301052208507,93.39194754429415,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,111.0586443113046,103.4492213254444,99.22188707209702,73.67082148736807,85.88075698859618,68.63443767198561
