Age 0,"109,686",,age<15,"453,244"
Age 1-4,"183,661",,age1564,"2,828,731"
Age 5-9,"93,996",,age>65,"5,883,662"
Age 10-14,"65,901","453,244",,
Age 15,"13,663",,,
Age 16,"15,105",,,
Age 17,"17,572",,,
Age 18,"21,947",,,
Age 19,"25,048",,,
Age 20-24,"137,354",,,
Age 25-29,"165,816",,,
Age 30-34,"175,964",,,
Age 35-39,"185,722",,,
Age 40-44,"193,138",,,
Age 45-49,"287,082",,,
Age 50-54,"402,514",,,
Age 55-59,"534,531",,,
Age 60-64,"653,275","2,828,731",,
Age 65-69,"847,254",,,
Age 70-74,"1,143,743",,,
Age 75-79,"1,183,307",,,
Age 80-84,"1,181,316",,,
Age 85-89,"921,697",,,
Age 90+,"606,345",,,
