Code,Name,E41000293,E41000294,E41000295,E41000296,E41000297,E41000298,E41000299,E41000300,E41000301,E41000302,E41000303,E41000304,E41000305,E41000306,E41000307,E41000308,E41000309,E41000310,E41000311,E41000312,E41000313,E41000314,E41000315,E41000316,E41000317,E41000318,E41000319,E41000320,E41000321,E41000322,E41000323,E41000324
E41000316,Newham,"2,851",659,319,913,343,"5,132",269,709,"1,066","1,311","3,051","1,501",999,160,"1,487",300,469,"3,349","2,250",166,"1,776",688,300,"24,781","3,365",214,"3,110",125,"11,592","3,243",864,"18,262"
E41000317,Redbridge,"4,611",627,116,492,186,"4,238",153,421,"1,426",571,"2,606",869,"1,080",133,"3,760",252,247,"2,842","1,004",74,958,296,111,"7,676","22,053",87,"2,315",63,"8,766","5,236",361,"16,760"
E41000318,Richmond upon Thames,17,167,28,438,60,"2,978",194,"1,503",115,104,416,"3,441",69,136,22,"2,149","7,102","1,363","1,814","3,479","1,295",88,846,104,19,"18,671","1,776",271,"2,121",34,"2,128","14,773"
E41000319,Southwark,188,488,440,640,"1,104","8,027","1,170",561,268,"1,723","2,020","2,336",379,115,116,367,633,"4,809","3,044",317,"10,253","3,399",782,894,210,456,"25,310",347,"7,802",391,"2,997","34,059"
E41000320,Sutton,16,105,94,158,589,"1,589","5,850",279,59,163,269,"1,108",81,46,28,329,622,886,933,"3,488","1,780",314,"7,117",120,30,812,"1,608","23,989","1,216",51,"3,785","7,927"
E41000321,Tower Hamlets,561,445,215,386,360,"6,315",219,467,367,739,"4,410","1,633",494,114,430,201,322,"4,891","2,211",122,"1,720",552,197,"2,973",638,248,"4,057",118,"30,488",943,700,"29,376"
E41000322,Waltham Forest,976,"1,001",100,723,144,"6,137",183,564,"3,422",535,"4,408","1,298","2,868",127,740,248,315,"4,787","1,570",75,"1,262",361,226,"4,191","3,801",145,"2,320",81,"5,282","21,581",587,"16,787"
E41000323,Wandsworth,36,431,81,738,348,"8,626","1,480","1,241",260,353,"1,340","7,618",259,128,43,759,"2,550","4,150","7,481","2,097","6,759",654,"4,768",460,71,"2,674","6,000","1,115","6,632",187,"23,925","46,072"
E41000324,"Westminster,City of London",33,712,36,"1,506",108,"7,593",164,"1,080",190,144,"1,012","2,885",272,237,58,613,719,"3,073","4,873",131,"1,627",163,279,320,88,321,"2,407",63,"5,897",187,935,"49,438"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
