no,type,date,pm2.5,inc3per,incsub
1,pm2.5,2018-03-31,11.69727214,11.69727214,0
2,pm2.5,2018-06-30,13.15891047,13.55367778,0.394767314
3,pm2.5,2018-09-30,8.487179315,9.004048535,0.51686922
4,pm2.5,2018-12-31,11.55748049,12.62917098,1.071690493
5,pm2.5,2019-03-31,13.61110449,15.31941802,1.708313527
6,pm2.5,2019-06-30,13.49084676,15.63958889,2.148742129
7,pm2.5,2019-09-30,7.472565515,8.922634014,1.450068499
8,pm2.5,2019-12-31,9.747080389,11.98767943,2.240599046
9,pm2.5,2020-03-31,8.674167443,10.9881758,2.314008355
10,pm2.5,2020-06-30,10.43596962,13.61657331,3.180603687
11,pm2.5,2020-09-30,7.935104166,10.66411646,2.729012294
12,pm2.5,2020-12-31,9.223823126,12.76792839,3.544105263
13,pm2.5,2021-03-31,11.06652282,15.77821539,4.71169257
14,pm2.5,2021-06-30,8.770750885,12.88014337,4.109392482
15,pm2.5,2021-09-30,8.259857695,12.49377588,4.233918183
16,pm2.5,2021-12-31,7.662204148,11.9374644,4.275260254
